hibana,14,1006922,15.88,0
giselle,14.9,998556,15.84,0
titania,14.8,999609,15.78,0
last celebration,14.7,1000504,15.75,0
fracture ray,14.7,1000207,15.72,0
exitium,14.8,995888,15.63,0
8-em,14.8,995888,15.63,0
jinsei reset button,13.8,1006647,15.62,0
 nhelv,14.6,1000067,15.60,0
elemental ethnic,14.8,995241,15.60,0
crystal_access,14.6,998788,15.55,0
giga drive,14.9,991183,15.54,0
don't fight the music,14.8,993462,15.53,0
macrocosmos,15.2,983131,15.52,0
a man in the mirror,14.9,990473,15.51,0
vieylla's scream,14.9,988785,15.45,0
竹,14.8,991291,15.45,0
attraqtia,14.8,990566,15.42,0
re : end of a dream,14.9,988236,15.42,0
viyella's tears,14.9,987816,15.41,0
insane gamemode,14.4,1000040,15.40,0
田中,14.6,994356,15.37,0
eta beta eta,14.7,991947,15.37,0
grievous lady,14.7,991856,15.37,0
opfer,14.8,989479,15.37,0
marenol,14.8,989089,15.36,0
U&iVERSE,14.4,998700,15.34,0
alea jacta est! ,14.7,991103,15.34,0
valsqotch,14.5,995899,15.33,0
aleph-0,14.7,990379,15.31,0