Shuffle cats,7.80,90.93,141.85,0
Meikyoushisui,7.85,90.11,141.47,0
BLACK JACKAL,8.00,82.81,132.49,0
GAIA -GITADORA EDITION-,7.50,88.27,132.40,0
voltississimo,7.40,89.22,132.04,0
STULTI,7.45,88.05,131.19,0
Spanish Snowy Dance,8.45,77.27,130.58,0
Itte,7.85,82.81,130.01,0
War evasion,7.85,82.64,129.74,0
Triple Journey -OJ EDITION-,7.35,87.66,128.86,0
Pretender,7.80,82.54,128.76,0
Evans -TLION69 Remix-,8.05,79.71,128.33,0
Afterimage d'automne,7.40,86.46,127.96,0
REALIZE,7.15,89.22,127.58,0
O togibanashi ni makugire o,8.35,76.30,127.42,0
HYDRA,7.50,83.48,125.22,0
Fly far bounce,8.25,75.43,124.45,0
Kashoku-sei: Aidoru shoukougun,6.90,89.85,123.99,0
cachaca,7.15,86.59,123.82,0
Bai ri,8.25,74.83,123.46,0
NO MORE SORROW,7.45,82.66,123.16,0
Sweet Illusion,6.85,89.34,122.39,0
Rintoshitesakuhananogotoku hina bita edition,7.80,78.41,122.31,0
Magic words ?,6.75,90.55,122.24,0
quaver Gitadora ver.,8.50,71.88,122.19,0
,0